aia_id,aia_timestamp,aia_group_id,aia_user_id,aia_feature,aia_prompt_token,aia_completion_token
2011,2025-03-03 16:48:01.597,5102,1225,MarketingDescription,560,237
2012,2025-03-03 16:48:04.410,5102,1225,MarketingDescription,560,234
2013,2025-03-03 16:48:09.000,5102,1225,MarketingDescription,560,244
2014,2025-03-03 20:14:05.587,5062,1388,MarketingDescription,918,235
2015,2025-03-03 20:15:12.210,5062,1388,MarketingDescription,918,268
2016,2025-03-03 20:16:59.790,5062,1388,MarketingDescription,918,209
2017,2025-03-03 20:18:17.987,5062,1388,MarketingDescription,918,221
2018,2025-03-03 20:18:41.913,5062,1388,MarketingDescription,918,243
2019,2025-03-03 20:18:47.873,5062,1388,MarketingDescription,918,240
2020,2025-03-03 20:41:31.560,5062,1388,MarketingDescription,889,236
2021,2025-03-03 20:42:11.640,5062,1388,MarketingDescription,889,248
2022,2025-03-04 04:34:57.547,5029,100,Nl2Sql,576,52
2023,2025-03-04 04:35:13.910,5029,100,Nl2Sql,577,82
2024,2025-03-04 04:40:01.873,5127,100,MarketingDescription,488,216
2025,2025-03-04 04:40:12.317,5127,100,MarketingDescription,488,212
2026,2025-03-04 04:40:36.117,5127,100,Nl2Sql,576,65
2027,2025-03-04 04:41:09.050,5127,100,Nl2Sql,579,109
2028,2025-03-04 04:44:12.453,5075,1320,MarketingDescription,497,228
2029,2025-03-04 04:59:18.150,5133,1191,PriceIntelligence,475,207
2030,2025-03-04 06:07:24.427,2677,1067,MarketingDescription,488,234
2031,2025-03-04 06:09:19.880,2677,1067,PriceIntelligence,469,149
2032,2025-03-04 06:10:49.867,2677,1067,PointOfInterest,326,168
2033,2025-03-04 06:12:21.560,2677,1067,Nl2Sql,577,52
2034,2025-03-04 06:12:35.010,2677,1067,Nl2Sql,576,102
2035,2025-03-04 06:14:43.010,5133,1204,MarketingDescription,613,246
2036,2025-03-04 06:15:00.893,5075,1407,MarketingDescription,542,234
2037,2025-03-04 06:27:09.253,5075,1309,MarketingDescription,533,228
2038,2025-03-04 06:29:21.063,5075,1407,MarketingDescription,529,204
2039,2025-03-04 06:29:47.930,5075,1407,MarketingDescription,529,229
2040,2025-03-04 06:33:19.133,5091,1207,MarketingDescription,561,257
2041,2025-03-04 06:33:35.167,5091,1207,MarketingDescription,499,204
2042,2025-03-04 06:34:15.543,5091,1207,MarketingDescription,603,238
2043,2025-03-04 06:40:39.913,5135,1192,MarketingDescription,513,236
2044,2025-03-04 06:44:30.067,5135,1192,PointOfInterest,325,174
2045,2025-03-04 06:53:21.743,5062,1250,MarketingDescription,535,231
2046,2025-03-04 06:53:25.073,5075,1218,MarketingDescription,752,230
2047,2025-03-04 07:12:59.157,5139,1194,MarketingDescription,602,224
2048,2025-03-04 07:33:20.353,5135,1192,MarketingDescription,638,217
2049,2025-03-04 07:44:04.627,2677,1145,MarketingDescription,567,244
2050,2025-03-04 07:44:12.127,5075,1328,MarketingDescription,576,230
2051,2025-03-04 07:45:18.040,5075,1328,MarketingDescription,576,232
2052,2025-03-04 07:58:20.757,2677,1145,PriceIntelligence,472,211
2053,2025-03-04 07:58:27.363,5102,1225,MarketingDescription,555,217
2054,2025-03-04 07:59:40.600,2677,1145,PointOfInterest,326,167
2055,2025-03-04 08:04:18.710,5111,1197,MarketingDescription,626,230
2056,2025-03-04 08:05:12.407,2677,1145,Nl2Sql,578,35
2057,2025-03-04 08:13:43.533,5023,1213,PriceIntelligence,474,224
2058,2025-03-04 08:14:20.617,5023,1213,PointOfInterest,326,174
2059,2025-03-04 08:14:43.357,5122,1192,MarketingDescription,555,225
2060,2025-03-04 08:19:33.327,5075,1280,MarketingDescription,491,221
2061,2025-03-04 08:19:34.907,5075,1449,MarketingDescription,511,233
2062,2025-03-04 08:20:48.707,5075,1407,MarketingDescription,502,232
2063,2025-03-04 08:37:10.293,5135,1192,MarketingDescription,583,220
2064,2025-03-04 08:39:01.177,5135,1192,PointOfInterest,327,165
2065,2025-03-04 08:55:44.437,5075,1307,MarketingDescription,753,228
2066,2025-03-04 08:58:30.330,5029,100,Nl2Sql,578,60
2067,2025-03-04 09:00:23.770,2677,1067,PriceIntelligence,469,144
2068,2025-03-04 09:02:13.327,2677,1067,PointOfInterest,324,171
2069,2025-03-04 09:03:21.450,2677,1067,MarketingDescription,575,249
2070,2025-03-04 09:05:40.267,5088,1189,PriceIntelligence,471,162
2071,2025-03-04 09:07:34.880,5075,1407,MarketingDescription,487,220
2072,2025-03-04 09:14:17.843,5084,1196,MarketingDescription,576,249
2073,2025-03-04 09:17:45.910,5088,1189,PriceIntelligence,469,166
2074,2025-03-04 09:18:27.977,5059,1214,MarketingDescription,494,229
2075,2025-03-04 09:21:32.530,5075,1407,MarketingDescription,487,197
2076,2025-03-04 09:27:05.967,5135,1192,MarketingDescription,513,222
2077,2025-03-04 09:31:08.270,5075,1307,MarketingDescription,753,236
2078,2025-03-04 09:31:43.210,5075,1407,MarketingDescription,487,199
2079,2025-03-04 09:31:49.657,5075,1407,MarketingDescription,487,207
2080,2025-03-04 09:37:37.807,2677,1145,Nl2Sql,572,65
2081,2025-03-04 09:38:45.213,5088,1189,Nl2Sql,578,54
2082,2025-03-04 09:39:01.473,5088,1189,Nl2Sql,579,32
2083,2025-03-04 09:39:07.110,5084,1196,MarketingDescription,574,241
2084,2025-03-04 09:39:32.127,5088,1189,Nl2Sql,578,28
2085,2025-03-04 09:47:23.153,5139,1193,MarketingDescription,524,250
2086,2025-03-04 09:53:16.840,5075,1407,MarketingDescription,487,200
2087,2025-03-04 09:57:20.317,5135,1192,PointOfInterest,327,167
2088,2025-03-04 10:00:54.033,5075,1407,MarketingDescription,487,226
2089,2025-03-04 10:02:06.737,5075,1280,MarketingDescription,505,218
2090,2025-03-04 10:04:38.163,5135,1192,MarketingDescription,514,239
2091,2025-03-04 10:06:44.187,5082,1191,MarketingDescription,588,253
2092,2025-03-04 10:11:33.470,5111,1197,MarketingDescription,499,242
2093,2025-03-04 10:13:10.500,2677,1067,PriceIntelligence,469,199
2094,2025-03-04 10:13:38.490,2677,1067,PointOfInterest,321,164
2095,2025-03-04 10:13:57.400,2677,1067,MarketingDescription,760,235
2096,2025-03-04 10:13:59.623,2677,1067,MarketingDescription,760,221
2097,2025-03-04 10:15:41.403,5135,1192,MarketingDescription,496,170
2098,2025-03-04 10:15:55.907,5111,1197,MarketingDescription,487,241
2099,2025-03-04 10:21:32.873,5133,1309,MarketingDescription,594,218
2100,2025-03-04 10:22:12.413,5133,1309,MarketingDescription,594,215
2101,2025-03-04 10:23:35.990,5075,1407,MarketingDescription,487,224
2102,2025-03-04 10:23:41.557,5075,1407,MarketingDescription,487,198
2103,2025-03-04 10:33:08.297,5082,1235,MarketingDescription,588,229
2104,2025-03-04 10:33:09.447,5082,1235,MarketingDescription,588,243
2105,2025-03-04 10:35:08.350,5075,1451,MarketingDescription,497,223
2106,2025-03-04 10:39:14.650,5075,1407,MarketingDescription,487,222
2107,2025-03-04 10:41:07.723,5125,1212,PriceIntelligence,489,213
2108,2025-03-04 10:50:05.963,5120,1189,MarketingDescription,548,251
2109,2025-03-04 10:51:39.187,5125,1212,PriceIntelligence,489,225
2110,2025-03-04 10:51:50.700,5133,1309,MarketingDescription,592,234
2111,2025-03-04 10:53:42.797,5133,1309,PointOfInterest,321,161
2112,2025-03-04 10:55:42.347,5135,1191,PriceIntelligence,471,154
2113,2025-03-04 10:57:26.163,5135,1191,PointOfInterest,328,177
2114,2025-03-04 11:00:07.630,5133,1305,MarketingDescription,586,253
2115,2025-03-04 11:00:15.547,5125,1192,MarketingDescription,499,202
2116,2025-03-04 11:07:16.867,5133,1211,PointOfInterest,323,160
2117,2025-03-04 11:09:27.200,5133,1211,MarketingDescription,624,215
2118,2025-03-04 11:10:34.380,5075,1407,MarketingDescription,487,246
2119,2025-03-04 11:14:08.640,5075,1407,MarketingDescription,487,225
2120,2025-03-04 11:14:11.327,5078,1245,MarketingDescription,509,214
2121,2025-03-04 11:20:29.073,5075,1407,MarketingDescription,487,242
2122,2025-03-04 11:20:43.933,5075,1407,MarketingDescription,487,216
2123,2025-03-04 11:40:46.457,5135,1192,PointOfInterest,320,164
2124,2025-03-04 11:58:07.153,5075,1280,MarketingDescription,503,236
2125,2025-03-04 12:04:57.847,5135,1192,PointOfInterest,320,165
2126,2025-03-04 12:09:28.360,5084,1265,MarketingDescription,486,203
2127,2025-03-04 12:09:30.670,5084,1265,MarketingDescription,486,209
2128,2025-03-04 12:41:49.817,5078,1245,MarketingDescription,510,214
2129,2025-03-04 12:58:14.037,5023,1213,MarketingDescription,491,228
2130,2025-03-04 12:58:15.730,5023,1213,MarketingDescription,491,205
2131,2025-03-04 12:58:16.530,5023,1213,MarketingDescription,491,222
2132,2025-03-04 13:02:02.337,5078,1245,MarketingDescription,507,225
2133,2025-03-04 13:11:09.047,5078,1245,MarketingDescription,510,218
2134,2025-03-04 13:31:57.520,5084,1265,PointOfInterest,321,156
2135,2025-03-04 13:59:05.003,5068,1238,MarketingDescription,514,238
2136,2025-03-04 14:06:09.200,5133,1242,PointOfInterest,327,166
2137,2025-03-04 14:16:59.313,5068,1185,Nl2Sql,575,37
2138,2025-03-04 14:17:06.173,5068,1185,Nl2Sql,575,38
2139,2025-03-04 14:17:16.827,5068,1185,Nl2Sql,572,34
2140,2025-03-04 14:20:05.280,5068,1185,Nl2Sql,572,35
2141,2025-03-04 16:57:06.807,5068,1230,PointOfInterest,328,167
